ASN00301;301
ASN00501;501
ASN00502;502
ASN00503;503
ASN00504;504
ASN00505;505
ASN00506;506
ASN00507;507
ASN00508;508
ASN00509;509
ASN00510;510
ASN00511;511
ASN00512;512
ASN00513;513
ASN00514;514
ASN00515;515
ASN00516;516
ASN00517;517
ASN00518;518
ASN00519;519
ASN00520;520
ASN00521;521
ASN00522;522
ASN00523;523
ASN00524;524
ASN00525;525
ASN00526;526
ASN00527;527
ASN00528;528
ASN00529;529
ASN00530;530
ASN00531;531
ASN00532;532
ASN00533;533
ASN00534;534
ASN00535;535
ASN00536;536
ASN00537;537
ASN00538;538
ASN00539;539
ASN00540;540
ASN00541;541
ASN00542;542
ASN00543;543
ASN00544;544
ASN00545;545
ASN00546;546
ASN00547;547
ASN00548;548
ASN00549;549
ASN00550;550
ASN00551;551
ASN00552;552
ASN00553;553
ASN00554;554
ASN00555;555
ASN00556;556
ASN00557;557
ASN00558;558
ASN00559;559
ASN00560;560
ASN00561;561
ASN00562;562
ASN00563;563
ASN00564;564
ASN00565;565
ASN00566;566
ASN00567;567
ASN00568;568
ASN00569;569
ASN00570;570
ASN00571;571
ASN00572;572
ASN00573;573
ASN00574;574
ASN00575;575
ASN00576;576
ASN00577;577
ASN00578;578
ASN00579;579
ASN00580;580
ASN00581;581
ASN00582;582
ASN00583;583
ASN00584;584
ASN00585;585
ASN00586;586
ASN00587;587
ASN00588;588
ASN00589;589
ASN00590;590
ASN00591;591
ASN00592;592
ASN00593;593
ASN00594;594
ASN00595;595
ASN00596;596
ASN00597;597
ASN00598;598
ASN00599;599
ASN00600;600
ASN00601;601
ASN00602;602
ASN00603;603
ASN00604;604
ASN00605;605
ASN00606;606
ASN00607;607
ASN00608;608
ASN00609;609
ASN00610;610
ASN00611;611
ASN00612;612
ASN00613;613
ASN00614;614
ASN00615;615
ASN00616;616
ASN00617;617
ASN00618;618
ASN00619;619
ASN00620;620
ASN00621;621
ASN00622;622
ASN00623;623
ASN00624;624
ASN00625;625
ASN00626;626
ASN00627;627
ASN00628;628
ASN00629;629
ASN00630;630
ASN00631;631
ASN00632;632
ASN00633;633
ASN00634;634
ASN00635;635
ASN00636;636
ASN00637;637
ASN00638;638
ASN00639;639
ASN00640;640
ASN00641;641
ASN00642;642
ASN00643;643
ASN00644;644
ASN00645;645
ASN00646;646
ASN00647;647
ASN00648;648
ASN00649;649
ASN00650;650
ASN00651;651
ASN00652;652
ASN00653;653
ASN00654;654
ASN00655;655
ASN00656;656
ASN00657;657
ASN00658;658
ASN00659;659
ASN00660;660
ASN00661;661
ASN00662;662
ASN00663;663
ASN00664;664
ASN00665;665
ASN00666;666
ASN00667;667
ASN00668;668
ASN00669;669
ASN00670;670
ASN00671;671
ASN00672;672
ASN00673;673
ASN00674;674
ASN00675;675
ASN00676;676
ASN00677;677
ASN00678;678
ASN00679;679
ASN00680;680
ASN00681;681
ASN00682;682
ASN00683;683
ASN00684;684
ASN00685;685
ASN00686;686
ASN00687;687
ASN00688;688
ASN00689;689
ASN00690;690
ASN00691;691
ASN00692;692
ASN00693;693
ASN00694;694
ASN00695;695
ASN00696;696
ASN00697;697
ASN00698;698
ASN00699;699
ASN00700;700
ASN00701;701
ASN00702;702
ASN00703;703
ASN00704;704
ASN00705;705
ASN00706;706
ASN00707;707
ASN00708;708
ASN00709;709
ASN00710;710
ASN00711;711
ASN00712;712
ASN00713;713
ASN00714;714
ASN00715;715
ASN00716;716
ASN00717;717
ASN00718;718
ASN00719;719
ASN00720;720
ASN00721;721
ASN00722;722
ASN00723;723
ASN00724;724
ASN00725;725
ASN00726;726
ASN00727;727
ASN00728;728
ASN00729;729
ASN00730;730
ASN00731;731
ASN00732;732
ASN00733;733
ASN00734;734
ASN00735;735
ASN00736;736
ASN00737;737
ASN00738;738
ASN00739;739
ASN00740;740
ASN00741;741
ASN00742;742
ASN00743;743
ASN00744;744
ASN00745;745
ASN00746;746
ASN00747;747
ASN00748;748
ASN00749;749
ASN00750;750
ASN00751;751
ASN00752;752
ASN00753;753
ASN00754;754
ASN00755;755
ASN00756;756
ASN00757;757
ASN00758;758
